formula,class,Tc,reduced formula
Ca1Al0.3Ga0.7Si1,other,3,Ca10Al3Ga7Si10
Ca1Al0.4Ga0.6Si1,other,3.45,Ca5Al2Ga3Si5
Ca1Al0.5Ga0.5Si1,other,3.73,Ca2Al1Ga1Si2
Ca1Al0.6Ga0.4Si1,other,4.51,Ca5Al3Ga2Si5
Ca1Al0.74Si1.26,other,2.46,Ca50Al37Si63
Ca1Al0.7Ga0.3Si1,other,4.78,Ca10Al7Ga3Si10
Ca1Al0.8Ga0.2Si1,other,5.6,Ca5Al4Ga1Si5
Ca1Al0.8Si1.2,other,4.05,Ca5Al4Si6
Ca1Al0.9Ga0.1Si1,other,6.54,Ca10Al9Ga1Si10
Ca1Al0.9Si1.1,other,5.57,Ca10Al9Si11
Ca1Al1.1Si0.9,other,6.63,Ca10Al11Si9
Ca1Al1.25Si0.75,other,4.4,Ca4Al5Si3
Ca1Al1.2Si0.8,other,5.21,Ca5Al6Si4
Ca1Al1.3Si0.7,other,4.5,Ca10Al13Si7
Ca1Al1.4Si0.6,other,4.6,Ca5Al7Si3
Ca1Al1Si1,other,2.6,Ca1Al1Si1
Ca1Al1Si1,other,5.6,Ca1Al1Si1
Ca1Al1Si1,other,5.68,Ca1Al1Si1
Ca1Al1Si1,other,5.95,Ca1Al1Si1
Ca1Al1Si1,other,6,Ca1Al1Si1
Ca1Al1Si1,other,6.1,Ca1Al1Si1
Ca1Al1Si1,other,6.2,Ca1Al1Si1
Ca1Al1Si1,other,6.5,Ca1Al1Si1
Ca1Al1Si1,other,7.1,Ca1Al1Si1
Ca1Al1Si1,other,7.13,Ca1Al1Si1
Ca1Al1Si1,other,7.3,Ca1Al1Si1
Ca1Al1Si1,other,7.67,Ca1Al1Si1
Ca1Al1Si1,other,7.7,Ca1Al1Si1
Ca1Al1Si1,other,7.8,Ca1Al1Si1
Ca1Al1Si1,other,7.89,Ca1Al1Si1
Ca1Al1Si1,other,7.9,Ca1Al1Si1
Ca1B1.05Pd3,other,0.8,Ca20B21Pd60
Ca1B1.25Pd3,other,1,Ca4B5Pd12
Ca1Ba1Dy1Cu3O7,CuO,65,Ca1Ba1Dy1Cu3O7
Ca1Ba1Er1Cu3O7,CuO,66,Ca1Ba1Er1Cu3O7
Ca1Ba1Eu1Cu3O7,CuO,53,Ca1Ba1Eu1Cu3O7
Ca1Ba1Gd1Cu3O7,CuO,49,Ca1Ba1Gd1Cu3O7
Ca1Ba1Ho1Cu3O7,CuO,57,Ca1Ba1Ho1Cu3O7
Ca1Ba1La0.2Nd0.8Cu3O7,CuO,57,Ca5Ba5La1Nd4Cu15O35
Ca1Ba1La0.2Sm0.8Cu3O7,CuO,56,Ca5Ba5La1Sm4Cu15O35
Ca1Ba1La0.4Eu0.6Cu3O7,CuO,62,Ca5Ba5La2Eu3Cu15O35
Ca1Ba1La0.4Nd0.6Cu3O7,CuO,63,Ca5Ba5La2Nd3Cu15O35
Ca1Ba1La0.4Sm0.6Cu3O7,CuO,64,Ca5Ba5La2Sm3Cu15O35
Ca1Ba1La0.6Eu0.4Cu3O7,CuO,65,Ca5Ba5La3Eu2Cu15O35
Ca1Ba1La0.6Nd0.4Cu3O7,CuO,67,Ca5Ba5La3Nd2Cu15O35
Ca1Ba1La0.6Sm0.4Cu3O7,CuO,68,Ca5Ba5La3Sm2Cu15O35
Ca1Ba1La0.8Eu0.2Cu3O7,CuO,69,Ca5Ba5La4Eu1Cu15O35
Ca1Ba1La0.8Nd0.2Cu3O7,CuO,71,Ca5Ba5La4Nd1Cu15O35
Ca1Ba1La0.8Sm0.2Cu3O7,CuO,71,Ca5Ba5La4Sm1Cu15O35
Ca1Ba1La1Cu3O6.85,CuO,76,Ca20Ba20La20Cu60O137
Ca1Ba1La1Cu3O6.97,CuO,64,Ca100Ba100La100Cu300O697
Ca1Ba1La1Cu3O7,CuO,72,Ca1Ba1La1Cu3O7
Ca1Ba1La1Cu3O7,CuO,47,Ca1Ba1La1Cu3O7
Ca1Ba1Nd1Cu3O7,CuO,46,Ca1Ba1Nd1Cu3O7
Ca1Ba1Sm1Cu3O7,CuO,39,Ca1Ba1Sm1Cu3O7
Ca1Ba1Tm1Cu3O7,CuO,67,Ca1Ba1Tm1Cu3O7
Ca1Cu0.25Si1.55,other,2.9,Ca20Cu5Si31
Ca1Cu0.25Si1.6,other,3,Ca20Cu5Si32
Ca1Cu0.25Si1.7,other,3.2,Ca20Cu5Si34
Ca1Cu0.25Si1.75,other,3.1,Ca4Cu1Si7
Ca1Cu0.33Si1.67,other,2.3,Ca100Cu33Si167
Ca1Ga0.74Si1.26,other,3.5,Ca50Ga37Si63
Ca1Ga1Si1,other,4.05,Ca1Ga1Si1
Ca1Ga1Si1,other,4.2,Ca1Ga1Si1
Ca1Ga1Si1,other,4.3,Ca1Ga1Si1
Ca1Ga1Si1,other,4.4,Ca1Ga1Si1
Ca1Ge3,other,6.8,Ca1Ge3
Ca1Ge3,other,6.8,Ca1Ge3
Ca1Hg1,other,1.6,Ca1Hg1
Ca1Hg3,other,1.6,Ca1Hg3
Ca1Hg5,other,1.7,Ca1Hg5
Ca1Ir1Si3,other,3,Ca1Ir1Si3
Ca1Ir1Si3,other,3.6,Ca1Ir1Si3
Ca1Ir2,other,4,Ca1Ir2
Ca1Ir2,other,6.15,Ca1Ir2
Ca1La1Ba1Cu2.76Fe0.24O7,CuO,22,Ca10000La10000Ba10000Cu27599.9999999999Fe2400O70000
Ca1La1Ba1Cu2.85Zn0.045O7,CuO,55,Ca200La200Ba200Cu570Zn9O1400
Ca1La1Ba1Cu2.88Fe0.12O7,CuO,28,Ca25La25Ba25Cu72Fe3O175
Ca1La1Ba1Cu2.88Zn0.12O7,CuO,14,Ca25La25Ba25Cu72Zn3O175
Ca1La1Ba1Cu2.8P0.2O7,CuO,90,Ca5La5Ba5Cu14P1O35
Ca1La1Ba1Cu2.91Zn0.09O7,CuO,20,Ca100La100Ba100Cu291Zn9O700
Ca1La1Ba1Cu2.94Fe0.06O7,CuO,44,Ca50La50Ba50Cu147Fe3O350
Ca1La1Ba1Cu2.97Fe0.03O7,CuO,49,Ca100La100Ba100Cu297.000000000000Fe3O700
Ca1La1Ba1Cu2.97Zn0.03O7,CuO,60,Ca100La100Ba100Cu297.000000000000Zn3O700
Ca1La1Ba1Cu3O7,CuO,80,Ca1La1Ba1Cu3O7
Ca1La1Ba1Cu3O7,CuO,69,Ca1La1Ba1Cu3O7
Ca1La1Ba1Cu3O7,CuO,70,Ca1La1Ba1Cu3O7
Ca1Li2,other,13,Ca1Li2
Ca1Ni1B1N1,other,2.08,Ca1Ni1B1N1
Ca1Pb1,other,7,Ca1Pb1
Ca1Pb3,other,0.65,Ca1Pb3
Ca1Pd2As2,other,1.27,Ca1Pd2As2
Ca1Pt1Si3,other,2.3,Ca1Pt1Si3
Ca1Pt3P1,other,6.6,Ca1Pt3P1
Ca1Rh1.2Sn4.5,other,8.7,Ca10Rh12Sn45
Ca1Rh2,other,6.4,Ca1Rh2
Ca1Si1.9,other,1.35,Ca10Si19
Ca1Si2,other,1.37,Ca1Si2
Ca1Si2,other,1.51,Ca1Si2
Ca1Si2,other,1.58,Ca1Si2
Ca1Si2,other,14,Ca1Si2
Ca1Si2.2,other,1.37,Ca5Si11
Ca1Si3,other,4.25,Ca1Si3
Ca1Si3,other,4.25,Ca1Si3
Ca1Tl0.75Pb2.25,other,3.68,Ca4Tl3Pb9
Ca1Tl1.8Pb1.2,other,2.8,Ca5Tl9Pb6
Ca1Tl2.4Pb0.6,other,3.18,Ca5Tl12Pb3
Ca1Tl3,other,2.04,Ca1Tl3
Ca2.5Co0.5Rh4Sn13,other,6.41,Ca5Co1Rh8Sn26
Ca2.5Co0.5Rh4Sn13,other,6.41,Ca5Co1Rh8Sn26
Ca2.8Co0.2Rh4Sn13,other,7.73,Ca14Co1Rh20Sn65
Ca2.8Co0.2Rh4Sn13,other,7.73,Ca14Co1Rh20Sn65
Ca24Al28O66,other,0.195,Ca12Al14O33
Ca2Al2.39Si4.61,other,5.4,Ca200Al239Si461
Ca2Al2.73Si4.27,other,6.4,Ca20000Al27300Si42699.999999999
Ca2Al3Si4,other,6.2,Ca2Al3Si4
Ca2Ba2Cu3O9,CuO,107,Ca2Ba2Cu3O9
Ca2Cu1Cl2.18O2,CuO,24,Ca100Cu50Cl109O100
Ca2Cu1Cl2.25O2,CuO,31,Ca8Cu4Cl9O8
Ca2Cu1Cl2.2O2,CuO,30,Ca10Cu5Cl11O10
Ca2Cu1Cl2.3O2,CuO,36,Ca20Cu10Cl23O20
Ca2Cu1Cl2.4O2,CuO,38,Ca10Cu5Cl12O10
Ca2Cu1Cl2.5O2,CuO,38,Ca4Cu2Cl5O4
Ca2In1N1,other,0.6,Ca2In1N1
Ca2In1N1,other,0.6,Ca2In1N1
Ca2Nb1O4,other,8.9,Ca2Nb1O4
Ca2Pt3Si5,other,1.3,Ca2Pt3Si5
Ca2Sr2Cu3Ga1O9,CuO,73,Ca2Sr2Cu3Ga1O9
Ca3Al2Fe2P2O5,Fe-co,16.6,Ca3Al2Fe2P2O5
Ca3Co4Ge13,other,5.9,Ca3Co4Ge13
Ca3Co4Sn13,other,5.75,Ca3Co4Sn13
Ca3Ir4Ge13,other,1.7,Ca3Ir4Ge13
Ca3Ir4Ge4,other,1.7,Ca3Ir4Ge4
Ca3Ir4Sn13,other,6.8,Ca3Ir4Sn13
Ca3Ir4Sn13,other,6.9,Ca3Ir4Sn13
Ca3Ir4Sn13,other,7,Ca3Ir4Sn13
Ca3Ir4Sn13,other,7.1,Ca3Ir4Sn13
Ca3Rh4Ge13,other,2.1,Ca3Rh4Ge13
Ca3Rh4Sn13,other,4.71,Ca3Rh4Sn13
Ca3Rh4Sn13,other,8.2,Ca3Rh4Sn13
Ca3Rh4Sn13,other,8.3,Ca3Rh4Sn13
Ca3Rh4Sn13,other,8.7,Ca3Rh4Sn13
Ca3Rh4Sn13,other,4.71,Ca3Rh4Sn13
Ca3Rh8B2,other,4,Ca3Rh8B2
Ca3Rh8B2,other,4,Ca3Rh8B2
Ca4Al2Fe2P2O5.8,Fe-co,17,Ca20Al10Fe10P10O29
Ca4Al2Fe2P2O6,Fe-co,17.1,Ca2Al1Fe1P1O3
Ca4Rh6Pb19,other,3.3,Ca4Rh6Pb19
Cd0.002Zn0.998,other,0.78,Cd1Zn499
Cd0.01In0.99,other,3.3445,Cd1In99
Cd0.0263Pb0.9737,other,7.124,Cd263Pb9737
Cd0.02In0.98,other,3.2945,Cd1In49
Cd0.02Zn0.98,other,0.675,Cd1Zn49
Cd0.03In0.97,other,3.2755,Cd3In97
Cd0.04Cu0.96S2,other,1.3,Cd1Cu24S50
Cd0.04In0.96,other,3.2595,Cd1In24
Cd0.06Cu0.94Se2,other,1.3,Cd3Cu47Se100
Cd0.17Tl0.83,other,2.3,Cd17.0000000000000Tl83
Cd0.18Pb0.32Sn0.5,other,7.5,Cd9Pb16Sn25
Cd0.18Sn0.72,other,3.65,Cd1Sn4
Cd0.18Tl0.82,other,2.54,Cd9Tl41
Cd0.1In0.9La3,other,9.55,Cd1In9La30
Cd0.1Pd0.9,other,6.92,Cd1Pd9
Cd0.1Tl0.9,other,3.5,Cd1Tl9
Cd0.2Zn0.8,other,0.628,Cd1Zn4
Cd0.3Hg0.7,other,1.7,Cd3Hg7
Cd0.67Bi0.23Pb0.1Sr2Y1Cu2O7,CuO,27.5,Cd67Bi23Pb10Sr200Y100Cu200O700
Cd0.6Mg0.4,other,0.016,Cd3Mg2
Cd0.75Mg0.25,other,0.16,Cd3Mg1
Cd0.7Mg0.3,other,0.105,Cd7Mg3
Cd0.86Mg0.14,other,0.145,Cd43Mg7.0000000000000
Cd0.8Mg0.2,other,0.185,Cd4Mg1
Cd0.96Mg0.04,other,0.24,Cd24Mg1
Cd0.97Hg0.03,other,0.53,Cd97Hg3
Cd0.97Pd0.03,other,4.2,Cd97Pd3
Cd0.9Ge0.1,other,1.7,Cd9Ge1
Cd0.9Mg0.1,other,0.138,Cd9Mg1
Cd1,other,0.5115,Cd1
Cd1,other,0.5148,Cd1
Cd1,other,0.517,Cd1
Cd1,other,0.5173,Cd1
Cd1,other,0.518,Cd1
Cd1,other,0.52,Cd1
Cd1,other,0.5218,Cd1
Cd1,other,0.53,Cd1
Cd1,other,0.541,Cd1
Cd1,other,0.55,Cd1
Cd1.3Mo6Se7.5,other,2.5,Cd13Mo60Se75
Cd1C1Ni3,other,2.8,Cd1C1Ni3
Cd1C1Ni3,other,3.2,Cd1C1Ni3
Cd1C1Ni3,other,3.4,Cd1C1Ni3
Cd1Hg1,other,1.77,Cd1Hg1
Cd1Hg1,other,2.15,Cd1Hg1
Cd1Mo5S6,other,2.4,Cd1Mo5S6
Cd1Mo5S6,other,2.67,Cd1Mo5S6
Cd1Mo5S6,other,3.7,Cd1Mo5S6
Cd1Mo6S8,other,1.8,Cd1Mo6S8
Cd1Mo6Se8,other,2.4,Cd1Mo6Se8
Cd1Sn1,other,3.65,Cd1Sn1
Cd1Tl0.7Ba1Cu1O4.5,CuO,52.5,Cd10Tl7Ba10Cu10O45
Cd2Re2O7,other,0.96,Cd2Re2O7
Cd2Re2O7,other,0.97,Cd2Re2O7
Cd2Re2O7,other,0.98,Cd2Re2O7
Cd2Re2O7,other,1,Cd2Re2O7
Cd2Re2O7,other,1.1,Cd2Re2O7
Cd2Re2O7,other,1.31,Cd2Re2O7
Cd2Re2O7,other,1.4,Cd2Re2O7
Cd2Re2O7.1,other,1,Cd20Re20O71
Cd99.995Mn0.005,other,0.39,Cd19999Mn1
Ce0.0007La0.9993,other,4.65,Ce7La9993
Ce0.005La0.995,other,4.6,Ce1La199
Ce0.005La0.995,other,5.27,Ce1La199
Ce0.013La0.987,other,3.1,Ce13La987
Ce0.013La0.987,other,3.7,Ce13La987
Ce0.01La0.99,other,3.63,Ce1La99
Ce0.01Y0.99,other,1.6,Ce1Y99
Ce0.02La0.98,other,2.56,Ce1La49
Ce0.02La0.98,other,2.6,Ce1La49
Ce0.03La0.97,other,1.21,Ce3La97
Ce0.12Si1V2.88,other,15.32,Ce3Si25V72
Ce0.147Ru0.853,other,3.6,Ce147Ru853
Ce0.15Ru0.85,other,3.9,Ce3Ru17
Ce0.16La0.84,other,8.7,Ce4La21
Ce0.1Nd0.9F0.5Bi1S2O0.5,other,4.68,Ce1Nd9F5Bi10S20O5
Ce0.25La0.75Ru2,other,1.42,Ce1La3Ru8
Ce0.2Nd0.8Bi1S2F0.3O0.7,other,2.33,Ce2Nd8Bi10S20F3O7
Ce0.2Nd0.8Bi1S2F0.5O0.5,other,4.48,Ce2Nd8Bi10S20F5O5
Ce0.2Nd0.8Bi1S2F0.7O0.3,other,4.31,Ce2Nd8Bi10S20F7O3
Ce0.2Nd0.8F0.3Bi1S2O0.7,other,2.35,Ce2Nd8F3Bi10S20O7
Ce0.2Nd0.8F0.3Bi1S2O0.7,other,2.35,Ce2Nd8F3Bi10S20O7
Ce0.2Nd0.8F0.5Bi1S2O0.5,other,4.42,Ce2Nd8F5Bi10S20O5
Ce0.2Nd0.8F0.5Bi1S2O0.5,other,4.46,Ce2Nd8F5Bi10S20O5
Ce0.2Nd0.8F0.5Bi1S2O0.5,other,4.46,Ce2Nd8F5Bi10S20O5
Ce0.2Nd0.8F0.7Bi1S2O0.7,other,4.29,Ce2Nd8F7Bi10S20O7
Ce0.2Nd0.8F0.7Bi1S2O0.7,other,4.29,Ce2Nd8F7Bi10S20O7
Ce0.3Nd0.7F0.5Bi1S2O0.5,other,4.07,Ce3Nd7F5Bi10S20O5
Ce0.4Nd0.6Bi1S2F0.5O0.5,other,3.93,Ce4Nd6Bi10S20F5O5
Ce0.4Nd0.6Bi1S2F0.7O0.3,other,3.67,Ce4Nd6Bi10S20F7O3
Ce0.4Nd0.6F0.5Bi1S2O0.5,other,3.94,Ce4Nd6F5Bi10S20O5
Ce0.5Nd0.5Bi1S2F0.5O0.5,other,3.48,Ce1Nd1Bi2S4F1O1
Ce0.5Nd0.5F0.5Bi1S2O0.5,other,3.46,Ce1Nd1F1Bi2S4O1
Ce0.5Yb0.5Co1In5,other,1.19,Ce1Yb1Co2In10
Ce0.65Pr0.35Ru2,other,1.25,Ce13Pr7Ru40
Ce0.6Nd0.4Bi1S2F0.7O0.3,other,3.256,Ce6Nd4Bi10S20F7O3
Ce0.6Nd0.4F0.5Bi1S2O0.5,other,2.98,Ce6Nd4F5Bi10S20O5
Ce0.6Nd0.4F0.5Bi1S2O0.5,other,3,Ce6Nd4F5Bi10S20O5
Ce0.6Nd0.4F0.5Bi1S2O0.5,other,2.98,Ce6Nd4F5Bi10S20O5
Ce0.6Nd0.4F0.7Bi1S2O0.7,other,3.25,Ce6Nd4F7Bi10S20O7
Ce0.6Nd0.4F0.7Bi1S2O0.7,other,3.25,Ce6Nd4F7Bi10S20O7
Ce0.7Pr0.3Ru2,other,5.11,Ce7Pr3Ru20
Ce0.837Yb0.163Co1In5,other,1.4,Ce837Yb163Co1000In5000
Ce0.837Yb0.163Co1In5,other,1.4,Ce837Yb163Co1000In5000
Ce0.84Y0.06Gd0.1Ru2,other,3.32,Ce42Y3Gd5Ru100
Ce0.84Y0.16Ru2,other,4.92,Ce21Y4Ru50
Ce0.84Y0.1Gd0.06Ru2,other,4.55,Ce42Y5Gd3Ru100
Ce0.85La0.15Co1In5,other,0.78,Ce17La3Co20In100
Ce0.85La0.15Ru2,other,5.35,Ce17La3Ru40
Ce0.85Yb0.15Co1In5,other,1.19,Ce17Yb3Co20In100
Ce0.85Yb0.15Co1In5,other,1.19,Ce17Yb3Co20In100
Ce0.86Tb0.14Ru2,other,4.51,Ce43Tb7.0000000000000Ru100
Ce0.875La0.125Co1In5,other,0.86,Ce7La1Co8In40
Ce0.875Yb0.125Co1In5,other,1.97,Ce7Yb1Co8In40
Ce0.88La0.12Ru2,other,6.14,Ce22La3Ru50
Ce0.8La0.2Ru2,other,4.77,Ce4La1Ru10
Ce0.8Nd0.2Bi1S2F0.7O0.3,other,3.145,Ce8Nd2Bi10S20F7O3
Ce0.8Pr0.2Ru2,other,5.82,Ce4Pr1Ru10
Ce0.8Tb0.2Ru2,other,2.52,Ce4Tb1Ru10
Ce0.8Tb0.2Ru2,other,2.6,Ce4Tb1Ru10
Ce0.8Yb0.2Co1In5,other,0.92,Ce4Yb1Co5In25
Ce0.8Yb0.2Co1In5,other,0.92,Ce4Yb1Co5In25
Ce0.916Yb0.084Co1In5,other,1.84,Ce229Yb21Co250In1250
Ce0.916Yb0.084Co1In5,other,1.84,Ce229Yb21Co250In1250
Ce0.91La0.09Ru2,other,5.25,Ce91La9Ru200
Ce0.91La0.09Ru2,other,6.57,Ce91La9Ru200
Ce0.925La0.075Co1In5,other,1.31,Ce37La3Co40In200
Ce0.93Gd0.07Ru2,other,3.38,Ce93Gd7.0000000000000Ru200
Ce0.94La0.06Ru2,other,6.55,Ce47La3Ru100
Ce0.95La0.05Co1In5,other,1.68,Ce19La1Co20In100
Ce0.95Nd0.05Co1In5,other,1.9,Ce19Nd1Co20In100
Ce0.95Nd0.05Co1In5,other,2,Ce19Nd1Co20In100
Ce0.95Yb0.05Co1In5,other,1.73,Ce19Yb1Co20In100
Ce0.95Yb0.05Co1In5,other,2.16,Ce19Yb1Co20In100
Ce0.95Yb0.05Co1In5,other,1.73,Ce19Yb1Co20In100
Ce0.965La0.035Co1In5,other,1.84,Ce193La7.0000000000000Co200In1000
Ce0.97Gd0.03Ru2,other,4.69,Ce97Gd3Ru200
Ce0.97La0.03Ru2,other,5.89,Ce97La3Ru200
Ce0.97La0.03Ru2,other,6.45,Ce97La3Ru200
Ce0.985La0.015Pt3Si1,other,0.15,Ce197La3Pt600Si200
Ce0.987Yb0.013Co1In5,other,2.13,Ce987Yb13Co1000In5000
Ce0.987Yb0.013Co1In5,other,2.13,Ce987Yb13Co1000In5000
Ce0.98La0.02Co1In5,other,2,Ce49La1Co50In250
Ce0.98La0.02Pt3Si1,other,0.03,Ce49La1Pt150Si50
Ce0.98Yb0.02Co1In5,other,1.89,Ce49Yb1Co50In250
Ce0.98Yb0.02Co1In5,other,1.89,Ce49Yb1Co50In250
Ce0.99La0.01Pt3Si1,other,0.57,Ce99La1Pt300Si100
Ce0.9La0.1Co1In5,other,1.22,Ce9La1Co10In50
Ce0.9La0.1Rh1In5,other,1.6,Ce9La1Rh10In50
Ce0.9Pr0.1Ru2,other,6.55,Ce9Pr1Ru20
Ce0.9Yb0.1Co1In5,other,1.47,Ce9Yb1Co10In50
Ce0.9Yb0.1Co1In5,other,2.09,Ce9Yb1Co10In50
Ce0.9Yb0.1Co1In5,other,1.47,Ce9Yb1Co10In50
Ce1,other,1.7,Ce1
Ce1.005Ni2.025Ge1.975,other,0.035,Ce10049.9999999999Ni20250Ge19750
Ce1.005Ni2.02Ge1.98,other,0.03,Ce10049.9999999999Ni20200Ge19800
Ce1.01Pt3Si1,other,0.75,Ce101Pt300Si100
Ce1.025Cu2Si2,other,0.6,Ce41Cu80Si80
Ce1Au2Si2,other,1.15,Ce1Au2Si2
Ce1Au2Si2,other,2.455,Ce1Au2Si2
Ce1Au2Si2,other,2.55,Ce1Au2Si2
Ce1Bi1S2F0.33O0.67,other,2.25,Ce100Bi100S200F33O67
Ce1Bi1S2F0.45O0.55,other,2.295,Ce20Bi20S40F9O11
Ce1Bi1S2F0.4O0.6,other,2.77,Ce5Bi5S10F2O3
Ce1Bi1S2F0.4O0.6,other,2.85,Ce5Bi5S10F2O3
Ce1Bi1S2F0.5O0.5,other,1.89,Ce2Bi2S4F1O1
Ce1Bi1S2F0.5O0.5,other,2.27,Ce2Bi2S4F1O1
Ce1Bi1S2F0.5O0.5,other,2.45,Ce2Bi2S4F1O1
Ce1Bi1S2F0.5O0.5,other,3,Ce2Bi2S4F1O1
Ce1Bi1S2F0.5O0.5,other,7.62,Ce2Bi2S4F1O1
Ce1Bi1S2F0.6O0.4,other,2.96,Ce5Bi5S10F3O2
Ce1Bi1S2F0.6O0.4,other,4.46,Ce5Bi5S10F3O2
Ce1Bi1S2F0.7O0.3,other,2.68,Ce10Bi10S20F7O3
Ce1Bi1S2F0.7O0.3,other,2.92,Ce10Bi10S20F7O3
Ce1Bi1S2F0.7O0.3,other,4.5,Ce10Bi10S20F7O3
Ce1Bi1S2F0.7O0.35,other,4,Ce20Bi20S40F14O7
Ce1Bi1S2F0.9O0.1,other,6.855,Ce10Bi10S20F9O1
Ce1Bi1S2F0.9O0.34,other,3.51,Ce50Bi50S100F45O17.0000000000000
Ce1Bi1S2O1,other,1.6,Ce1Bi1S2O1
Ce1Bi1S2O1,other,3,Ce1Bi1S2O1
Ce1Bi1S2O1,other,1.6,Ce1Bi1S2O1
Ce1Bi1S2O1,other,3,Ce1Bi1S2O1
Ce1Bi3.1Pb0.9Te6,other,2.8,Ce10Bi31Pb9Te60
Ce1Bi3.1Pb0.9Te6,other,2.8,Ce10Bi31Pb9Te60
Ce1Bi3.2Pb0.8Te6,other,2.9,Ce5Bi16Pb4Te30
Ce1Bi3.2Pb0.8Te6,other,2.9,Ce5Bi16Pb4Te30
Ce1Bi3.3Pb0.7Te6,other,2.9,Ce10Bi33Pb7Te60
Ce1Bi3.3Pb0.7Te6,other,2.9,Ce10Bi33Pb7Te60
Ce1Bi3.4Pb0.6Te6,other,3,Ce5Bi17Pb3Te30
Ce1Bi3.4Pb0.6Te6,other,3,Ce5Bi17Pb3Te30
Ce1Bi3.5Pb0.5Te6,other,3,Ce2Bi7Pb1Te12
Ce1Bi3.5Pb0.5Te6,other,3,Ce2Bi7Pb1Te12
Ce1Bi3.6Pb0.4Te6,other,3,Ce5Bi18Pb2Te30
Ce1Bi3.6Pb0.4Te6,other,3,Ce5Bi18Pb2Te30
Ce1Bi3.7Pb0.3Te6,other,2.9,Ce10Bi37Pb3Te60
Ce1Bi3.7Pb0.3Te6,other,2.9,Ce10Bi37Pb3Te60
Ce1Bi3Pb1Te6,other,2.7,Ce1Bi3Pb1Te6
Ce1Bi3Pb1Te6,other,2.7,Ce1Bi3Pb1Te6
Ce1Co0.5Ir0.5In5,other,0.64,Ce2Co1Ir1In10
Ce1Co0.5Rh0.5In5,other,1.6,Ce2Co1Rh1In10
Ce1Co0.5Ru0.5In5,other,1.77,Ce2Co1Ru1In10
Ce1Co0.6Ru0.4In5,other,1.8,Ce5Co3Ru2In25
Ce1Co0.7Ru0.3In5,other,2.13,Ce10Co7Ru3In50
Ce1Co0.875Ni0.125In5,other,1.41,Ce8Co7Ni1In40
Ce1Co0.875Ni0.125In5,other,1.41,Ce8Co7Ni1In40
Ce1Co0.8Ni0.2In5,other,0.88,Ce5Co4Ni1In25
Ce1Co0.8Ni0.2In5,other,0.88,Ce5Co4Ni1In25
Ce1Co0.8Ru0.2In5,other,2.18,Ce5Co4Ru1In25
Ce1Co0.925Ni0.075In5,other,1.69,Ce40Co37Ni3In200
Ce1Co0.925Ni0.075In5,other,1.69,Ce40Co37Ni3In200
Ce1Co0.95Ni0.05In5,other,1.86,Ce20Co19Ni1In100
Ce1Co0.95Ni0.05In5,other,1.86,Ce20Co19Ni1In100
Ce1Co0.9Ru0.1In5,other,2.25,Ce10Co9Ru1In50
Ce1Co1.67Ni0.33,other,0.46,Ce100Co167Ni33
Ce1Co1.67Rh0.33,other,0.47,Ce100Co167Rh33
Ce1Co1.85,other,0.86,Ce20Co37
Ce1Co1.95,other,0.87,Ce20Co39
Ce1Co1Ge3,other,0.64,Ce1Co1Ge3
Ce1Co1Ge3,other,0.69,Ce1Co1Ge3
Ce1Co1Ge3,other,0.7,Ce1Co1Ge3
Ce1Co1In4.5Cd0.5,other,1.35,Ce2Co2In9Cd1
Ce1Co1In4.75Cd0.25,other,2.13,Ce4Co4In19Cd1
Ce1Co1In4.75Zn0.25,other,1.82,Ce4Co4In19Zn1
Ce1Co1In4.75Zn0.25,other,1.82,Ce4Co4In19Zn1
Ce1Co1In4.86Sn0.14,other,0.556,Ce50Co50In243Sn7.0000000000000
Ce1Co1In4.875Zn0.125,other,2.14,Ce8Co8In39Zn1
Ce1Co1In4.875Zn0.125,other,2.14,Ce8Co8In39Zn1
Ce1Co1In4.88Sn0.12,other,0.81,Ce25Co25In122Sn3
Ce1Co1In4.88Sn0.12,other,0.93,Ce25Co25In122Sn3
Ce1Co1In4.92Sn0.08,other,1.22,Ce25Co25In123Sn2
Ce1Co1In4.945Cd0.055,other,1.92,Ce200Co200In989Cd11
Ce1Co1In4.945Cd0.055,other,1.92,Ce200Co200In989Cd11
Ce1Co1In4.94Sn0.06,other,1.56,Ce50Co50In247.000000000000Sn3
Ce1Co1In4.94Sn0.06,other,1.57,Ce50Co50In247.000000000000Sn3
Ce1Co1In4.96Cd0.04,other,2.05,Ce25Co25In124Cd1
Ce1Co1In4.96Cd0.04,other,2.05,Ce25Co25In124Cd1
Ce1Co1In4.97Sn0.03,other,1.86,Ce100Co100In497Sn3
Ce1Co1In4.9835Cd0.0165,other,2.15,Ce2000Co2000In9967Cd33
Ce1Co1In4.989Cd0.011,other,2.18,Ce1000Co1000In4989Cd11
Ce1Co1In4.98Cd0.02,other,2.14,Ce50Co50In249.000000000000Cd1
Ce1Co1In4.98Cd0.02,other,2.14,Ce50Co50In249.000000000000Cd1
Ce1Co1In4.9945Cd0.0055,other,2.222,Ce2000Co2000In9989.0000000000Cd11
Ce1Co1In4.9945Cd0.0055,other,2.23,Ce2000Co2000In9989.0000000000Cd11
Ce1Co1In4.996Sn0.004,other,2.21,Ce250Co250In1249.00000000000Sn1
Ce1Co1In4.9976Hg0.0024,other,2.252,Ce10000Co10000In49976Hg23.9999999999999
Ce1Co1In4.9992Hg0.0008,other,2.254,Ce1250Co1250In6249Hg1
